D,strategy,mean_auc,std_auc
1,stratified,0.9988018575482691,0.001054955312003832
2,stratified,0.9989462439040799,0.0009079173526228157
3,stratified,1.0,0.0
4,stratified,1.0,0.0
5,stratified,1.0,0.0
6,stratified,1.0,0.0
7,stratified,1.0,0.0
8,stratified,1.0,0.0
9,stratified,1.0,0.0
10,stratified,1.0,0.0
11,stratified,1.0,0.0
12,stratified,1.0,0.0
13,stratified,1.0,0.0
14,stratified,1.0,0.0
15,stratified,1.0,0.0
16,stratified,1.0,0.0
17,stratified,1.0,0.0
18,stratified,1.0,0.0
19,stratified,1.0,0.0
20,stratified,1.0,0.0
21,stratified,1.0,0.0
22,stratified,1.0,0.0
23,stratified,1.0,0.0
24,stratified,1.0,0.0
25,stratified,1.0,0.0
26,stratified,1.0,0.0
27,stratified,1.0,0.0
28,stratified,1.0,0.0
29,stratified,1.0,0.0
30,stratified,1.0,0.0
31,stratified,1.0,0.0
32,stratified,1.0,0.0
33,stratified,1.0,0.0
34,stratified,1.0,0.0
35,stratified,1.0,0.0
36,stratified,1.0,0.0
37,stratified,1.0,0.0
38,stratified,1.0,0.0
39,stratified,1.0,0.0
40,stratified,1.0,0.0
41,stratified,1.0,0.0
42,stratified,1.0,0.0
43,stratified,1.0,0.0
44,stratified,1.0,0.0
45,stratified,1.0,0.0
46,stratified,1.0,0.0
47,stratified,1.0,0.0
48,stratified,1.0,0.0
49,stratified,1.0,0.0
50,stratified,1.0,0.0
51,stratified,1.0,0.0
